Treatment,Trial,Arena,Fish_ID,Tank_ID,Batch,Body_mass,Body_length,Velocity,notes,Distance_moved,Time_moving,Time_not_moving,Arena_freq,Time_arena,Shelter_freq,Time_shelter,Distance_shelter,total_wbc,N-L_ratio,Lymphocyte,Neutrophil,Monocyte
low,Trial     1,Arena 4,1,1,Batch 1,0.5626,3.28,0,not came out,0,0,0,1,0.8,1,1199.2,0,48,0.337837838,74,25,1
low,Trial    17,Arena 3,9,2,Batch 1,1.1521,4.1,0,not came out,0,0,0,0,0,0,1200,0,28,1.279069767,43,55,2
low,Trial    25,Arena 3,14,2,Batch 1,0.6895,3.55,0,not came out,0,0,0,0,0,0,1200,0,58,0.5625,64,36,
Control,Trial    33,Arena 3,18,16,Batch 1,0.4553,2.95,0,not came out,0,0,0,0,0,0,1200,0,50,0.678571429,56,38,6
Control,Trial    33,Arena 2,19,16,Batch 1,0.3585,2.7,0,not came out,0,0,0,0,0,0,1200,0,43,0.637931035,58,37,5
high,Trial     2,Arena 3,22,3,Batch 2,0.5748,3.36,0,not came out,0,0,0,0,0,0,1200,0,66,0.256410256,78,20,2
high,Trial     2,Arena 2,23,3,Batch 2,1.0127,4.1,0,not came out,0,0,0,0,0,0,1200,0,24,0.256410256,78,20,2
Control,Trial    18,Arena 4,29,4,Batch 2,0.5299,3.29,0,not came out,0,0,0,0,0,0,1200,0,44,0.291666667,72,21,7
Control,Trial    18,Arena 1,32,4,Batch 2,0.6404,3.4,0,not came out,0,0,0,0,0,0,1200,0,52,0.053763441,93,5,2
Control,Trial    11,Arena 3,46,5,Batch 3,0.7225,3.74,0,not came out,0,0,0,0,0,0,1200,0,34,0.178571429,84,15,1
high,Trial    11,Arena 1,48,6,Batch 3,0.3937,2.92,0,not came out,0,0,0,0,0,0,1200,0,55,0.315789474,76,24,
high,Trial    19,Arena 1,52,6,Batch 3,0.4729,3.15,0,not came out,0,0,0,0,0,0,1200,0,31,0.298701299,77,23,
Control,Trial     4,Arena 4,61,7,Batch 4,0.703,3.52,0,not came out,0,0,0,0,0,0,1200,0,58,0.149425287,87,13,
Control,Trial    12,Arena 3,66,7,Batch 4,0.8303,3.7,0,not came out,0,0,0,0,0,0,1200,0,37,0.192771084,83,16,1
Control,Trial    13,Arena 3,86,9,Batch 5,1.1822,4.1,0,not came out,0,0,0,0,0,0,1200,0,50,0.149425287,87,13,
high,Trial    21,Arena 4,89,10,Batch 5,0.7412,3.49,0,not came out,0,0,0,0,0,0,1200,0,36,0.298701299,77,23,
low,Trial    14,Arena 2,107,11,Batch 6,0.8001,3.7,0,not came out,0,0,0,0,0,0,1200,0,21,0.833333333,54,45,1
