sample_id,batch,tank,treatment,mucus_collection,body_mass,body_length
01LT1,Batch 1,1,L,N,0.5626,3.28
02LT1,Batch 1,1,L,N,0.5491,3.4
03LT1,Batch 1,1,L,N,0.5586,3.18
04LT1,Batch 1,1,L,N,0.4825,3.1
05LT1,Batch 1,1,L,N,0.9499,3.81
06LT1,Batch 1,1,L,N,0.769,3.7
07LT1,Batch 1,1,L,N,0.5568,3.3
08LT2,Batch 1,2,L,N,0.446,3.02
09LT2,Batch 1,2,L,N,1.1521,4.1
10LT2,Batch 1,2,L,N,0.6993,3.5
11LT2,Batch 1,2,L,N,0.7824,3.69
12LT2,Batch 1,2,L,N,0.691,3.61
13LT2,Batch 1,2,L,N,0.471,3.11
14LT2,Batch 1,2,L,N,0.6895,3.55
15CT16,Batch 1,16,C,N,0.2965,2.55
16CT16,Batch 1,16,C,N,0.887,3.88
17CT16,Batch 1,16,C,N,0.75,3.71
18CT16,Batch 1,16,C,N,0.4553,2.95
19CT16,Batch 1,16,C,N,0.3585,2.7
20CT16,Batch 1,16,C,N,0.4651,3.1
21HT3,Batch 2,3,H,Y,0.5118,3.2
22HT3,Batch 2,3,H,Y,0.5748,3.36
23HT3,Batch 2,3,H,Y,1.0127,4.1
24HT3,Batch 2,3,H,Y,0.5211,3.29
25HT3,Batch 2,3,H,Y,1.0201,4
26HT3,Batch 2,3,H,Y,1.1106,4.21
27HT3,Batch 2,3,H,Y,0.5193,3.29
28CT4,Batch 2,4,C,Y,0.7466,3.59
29CT4,Batch 2,4,C,Y,0.5299,3.29
30CT4,Batch 2,4,C,Y,0.6112,3.39
31CT4,Batch 2,4,C,Y,0.6481,3.4
32CT4,Batch 2,4,C,Y,0.6404,3.4
33CT4,Batch 2,4,C,Y,0.4488,3.07
34CT4,Batch 2,4,C,Y,0.464,3.11
35LT14,Batch 2,14,L,Y,0.548,3.26
36LT14,Batch 2,14,L,Y,0.8179,3.69
37LT14,Batch 2,14,L,Y,0.5876,3.39
38LT14,Batch 2,14,L,Y,0.7399,3.53
39LT14,Batch 2,14,L,Y,0.4745,3.05
40LT14,Batch 2,14,L,Y,0.3537,2.7
41CT5,Batch 3,5,C,Y,0.3871,2.87
42CT5,Batch 3,5,C,Y,0.3787,2.99
43CT5,Batch 3,5,C,Y,0.6041,3.4
44CT5,Batch 3,5,C,Y,0.6208,3.4
45CT5,Batch 3,5,C,Y,0.9308,3.95
46CT5,Batch 3,5,C,Y,0.7225,3.74
47CT5,Batch 3,5,C,Y,0.4443,2.99
48HT6,Batch 3,6,H,Y,0.3937,2.92
49HT6,Batch 3,6,H,Y,0.4174,3.05
50HT6,Batch 3,6,H,Y,0.5683,3.21
51HT6,Batch 3,6,H,Y,0.8186,3.71
52HT6,Batch 3,6,H,Y,0.4729,3.15
53HT6,Batch 3,6,H,Y,0.88,3.8
54HT6,Batch 3,6,H,Y,0.4101,3
55HT17,Batch 3,17,H,Y,0.9504,3.92
56HT17,Batch 3,17,H,Y,0.915,4
57HT17,Batch 3,17,H,Y,0.5642,3.29
58HT17,Batch 3,17,H,Y,0.6133,3.4
59HT17,Batch 3,17,H,Y,0.8625,3.64
60HT17,Batch 3,17,H,Y,0.4724,3
61CT7,Batch 4,7,C,Y,0.703,3.52
62CT7,Batch 4,7,C,Y,0.4198,3.09
63CT7,Batch 4,7,C,Y,1.0326,4
64CT7,Batch 4,7,C,Y,1.3362,4.5
65CT7,Batch 4,7,C,Y,0.9124,3.73
66CT7,Batch 4,7,C,Y,0.8303,3.7
67CT7,Batch 4,7,C,Y,0.4172,2.9
68HT8,Batch 4,8,H,Y,0.5771,3.2
69HT8,Batch 4,8,H,Y,0.488,2.96
70HT8,Batch 4,8,H,Y,1.2635,4.19
71HT8,Batch 4,8,H,Y,0.5149,3.18
72HT8,Batch 4,8,H,Y,0.4042,2.78
73HT8,Batch 4,8,H,Y,0.8393,3.71
74HT8,Batch 4,8,H,Y,0.5652,3.2
75LT18,Batch 4,18,L,Y,0.4191,2.89
76LT18,Batch 4,18,L,Y,0.7305,3.59
77LT18,Batch 4,18,L,Y,0.4365,2.99
78LT18,Batch 4,18,L,Y,0.4536,3.28
79LT18,Batch 4,18,L,Y,0.4697,3.1
80LT18,Batch 4,18,L,Y,0.4316,3
81CT9,Batch 5,9,C,Y,0.5265,3.15
82CT9,Batch 5,9,C,Y,0.4841,3.18
83CT9,Batch 5,9,C,Y,0.5317,3.2
84CT9,Batch 5,9,C,Y,0.4898,3.16
85CT9,Batch 5,9,C,Y,0.4121,3
86CT9,Batch 5,9,C,Y,1.1822,4.1
87CT9,Batch 5,9,C,Y,0.5587,3.22
88HT10,Batch 5,10,H,Y,0.4985,3.17
89HT10,Batch 5,10,H,Y,0.7412,3.49
90HT10,Batch 5,10,H,Y,0.3381,2.89
91HT10,Batch 5,10,H,Y,0.6245,3.4
92HT10,Batch 5,10,H,Y,0.3939,2.91
93HT10,Batch 5,10,H,Y,0.422,3
94HT10,Batch 5,10,H,Y,0.7085,3.51
95LT21,Batch 5,21,L,Y,0.5121,3.28
96LT21,Batch 5,21,L,Y,0.7302,3.5
97LT21,Batch 5,21,L,Y,0.8558,3.8
98LT21,Batch 5,21,L,Y,0.4322,2.99
99LT21,Batch 5,21,L,Y,0.4107,3.02
100LT21,Batch 5,21,L,Y,0.5304,3.3
101LT11,Batch 6,11,L,Y,0.4067,2.89
102LT11,Batch 6,11,L,Y,0.7456,3.78
103LT11,Batch 6,11,L,Y,0.825,3.8
104LT11,Batch 6,11,L,Y,0.8298,3.75
105LT11,Batch 6,11,L,Y,0.7824,3.62
106LT11,Batch 6,11,L,Y,0.4936,3.2
107LT11,Batch 6,11,L,Y,0.8001,3.7
108LT12,Batch 6,12,L,Y,0.6155,3.39
109LT12,Batch 6,12,L,Y,0.4212,3.02
110LT12,Batch 6,12,L,Y,0.9373,3.9
111LT12,Batch 6,12,L,Y,0.5509,3.25
112LT12,Batch 6,12,L,Y,0.6788,3.59
113LT12,Batch 6,12,L,Y,0.3711,2.89
114LT12,Batch 6,12,L,Y,0.2827,2.65
115HT22,Batch 6,22,H,Y,0.4689,3.02
116HT22,Batch 6,22,H,Y,0.3811,2.9
117HT22,Batch 6,22,H,Y,0.5064,3.18
118HT22,Batch 6,22,H,Y,0.5306,3.21
119HT22,Batch 6,22,H,Y,0.5534,3.3
120HT22,Batch 6,22,H,Y,0.4921,3.21
121HT13,Batch 7,13,H,Y,0.5752,3.3
122HT13,Batch 7,13,H,Y,0.8686,3.8
123HT13,Batch 7,13,H,Y,0.483,3
124HT13,Batch 7,13,H,Y,0.6435,3.3
125HT13,Batch 7,13,H,Y,0.8105,3.7
126HT13,Batch 7,13,H,Y,0.797,3.5
127HT13,Batch 7,13,H,Y,0.667,3.4
128CT15,Batch 7,15,C,Y,0.4838,3.1
129CT15,Batch 7,15,C,Y,0.5824,3.38
130CT15,Batch 7,15,C,Y,0.3123,2.57
131CT15,Batch 7,15,C,Y,0.3477,2.88
132CT15,Batch 7,15,C,Y,0.4892,3.2
133CT15,Batch 7,15,C,Y,0.708,3.6
134CT15,Batch 7,15,C,Y,0.4571,3.1
135HT23,Batch 7,23,H,Y,0.4994,3.1
136HT23,Batch 7,23,H,Y,0.4664,3
137HT23,Batch 7,23,H,Y,0.3986,2.9
138HT23,Batch 7,23,H,Y,0.6412,3.5
139HT23,Batch 7,23,H,Y,0.4828,3.2
140HT23,Batch 7,23,H,Y,0.6641,3.6
141LT19,Batch 8,19,L,Y,0.755,3.5
142LT19,Batch 8,19,L,Y,0.817,3.7
143LT19,Batch 8,19,L,Y,0.5685,3.2
