feature	SOKP01	Cutibacterium	Streptomyces	Bifidobacterium	Bifidobacterium.1	Microbacterium	NM07.P.09	Deinococcus	Pseudomonas_E	Pseudomonas	Halomonas	Acidibacter	ZC4RG30	Methylophaga	Thiomicrorhabdus	Hylemonella	Variovorax	Limnohabitans	Acidovorax	Pelomonas	Aquabacterium	Aquabacterium.1	Aquincola	Lautropia	Undibacterium	Massilia	Herbaspirillum	Herbaspirillum.1	Ralstonia	Neisseria	Moraxella_A	Moraxella	Acinetobacter	Klebsiella	Vibrio	Brevundimonas	Caulobacter	Tardiphaga	Bradyrhizobium	Methylobacterium.Methylorubrum	Methylobacterium	Bosea	Nereida	HIMB11	Phaeobacter	Erythrobacter	Qipengyuania	Novosphingobium	Sphingomonas	Pelagibacter	VGCI01	Rikenella	Odoribacter	Alistipes	Phocaeicola	Bacteroides	Prevotella	Cryptobacteroides	Desulfovibrio	Desulfovibrio.1	Desulfovibrio.2	Mucispirillum	Fimbriiglobus	Dysosmobacter	Pelethomonas	Enterenecus	Neglecta	Eubacterium_R	HGM12619	UBA3282	COE1	Lachnospiraceae.NK4A136.group	Gemella	Ligilactobacillus	Lactobacillus	Clostridium	Turicibacter	Staphylococcus	Priestia	Niallia	Rossellomorea	Anaerobacillus	Ileibacterium	Dubosiella	Faecalibaculum	Stenotrophomonas	Lacticaseibacillus	Duncaniella	CAG.485	Duncaniella.1	UBA7173	Paramuribaculum	Muribaculum	Streptococcus
71HT8.fastq	63	45	0	0	75	0	0	332	1097	6034	118	132	73	56	115	0	0	44	47	164	0	69	0	85	0	508	57	0	307	0	22	58	5235	0	0	0	0	0	144	70	132	0	3	197	0	26	0	38	456	36	0	46	158	41	71	0	74	148	0	15	254	0	0	0	0	41	0	0	0	63	0	268	0	0	829	68	0	0	0	0	0	0	0	104	151	47	0	329	208	0	18	125	11	0
43CT5.fastq	96	13	0	0	19	0	7	0	29	227	9	11	2	2165	3597	0	0	17	0	13	0	0	0	0	0	0	0	0	0	17	0	13	61	11	0	0	0	0	0	0	0	0	13	0	48	0	0	6	5	0	0	0	46	0	5	0	0	75	7	26	51	0	0	2	0	0	4	10	0	32	0	87	0	0	167	6	0	0	0	0	0	0	0	35	111	4	0	63	72	0	2	78	20	0
50HT6.fastq	102	32	6	0	33	0	0	0	2288	25148	65	10	8	0	61	0	0	0	0	45	20	46	0	0	0	92	11	0	64	0	0	0	566	0	0	0	8	18	25	45	64	11	11	0	0	0	0	337	47	0	0	4	125	88	0	0	28	351	0	14	55	0	2	0	25	0	0	92	0	144	0	331	0	39	444	0	0	0	56	0	0	0	90	206	0	0	0	188	199	21	0	87	101	0
22HT3.fastq	70	13	0	0	34	0	0	0	317	3529	19	0	0	18	20	0	0	7	0	0	0	0	0	9	0	20	0	0	9	0	0	16	67	0	0	0	0	0	0	0	8	0	5	0	0	9	0	10	3	0	0	7	54	0	13	0	16	140	0	0	26	0	0	0	0	0	0	0	0	43	0	89	17	0	87	19	0	0	19	0	0	0	7	19	73	16	4	83	24	0	8	67	26	56
24HT3.fastq	0	7	0	0	0	0	0	0	49	636	0	0	0	0	5	0	33	0	5	0	0	0	0	0	0	29	0	0	7	0	0	0	11	0	0	0	5	0	0	0	0	8	0	0	0	0	0	233	8	0	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	0	19	0	0	27	0	0	0	0	0	0	0	0	0	12	0	0	14	22	9	0	21	0	0
107LT11.fastq	0	0	0	0	0	0	0	0	707	16927	0	0	0	0	0	0	6	0	0	0	0	8	0	0	0	7	0	0	11	0	0	0	200	0	0	0	0	0	0	6	7	0	0	6	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42CT5.fastq	106	15	0	0	0	0	0	0	137	1119	22	0	0	5	7	0	0	4	0	12	0	8	0	9	0	27	0	0	28	0	0	21	108	0	0	0	0	0	0	0	4	0	0	0	18	0	0	15	3	0	0	3	26	0	14	17	10	28	0	22	33	0	5	0	0	0	0	9	0	29	31	58	0	31	143	0	0	0	72	0	0	2	12	14	10	0	0	104	53	0	0	65	23	0
46CT5.fastq	71	27	0	0	0	0	0	69	344	2039	52	36	0	0	64	57	0	0	0	8	0	31	0	0	0	530	0	0	407	30	54	0	11990	0	0	0	0	0	14	0	48	0	0	0	0	0	0	0	161	83	0	0	0	0	0	0	0	334	0	162	63	0	0	0	0	0	117	0	0	747	0	261	0	0	2174	0	0	0	0	0	0	0	79	165	0	0	0	59	39	0	0	0	0	0
44CT5.fastq	191	0	0	30	0	0	0	38	11271	20212	51	0	0	0	0	190	0	0	0	76	27	68	0	0	111	54	43	0	37	0	0	0	4810	0	0	0	20	0	11	14	31	0	0	0	0	0	0	47	60	0	0	0	111	0	0	0	0	23	0	0	12	0	0	0	0	0	0	82	0	29	0	36	0	0	0	28	0	0	153	0	0	0	0	11	0	0	0	0	0	0	0	37	0	0
21HT3.fastq	297	169	0	0	99	0	0	30	350	5248	248	49	42	225	211	0	77	0	0	12	0	0	0	0	0	1076	0	0	0	0	54	74	411	0	0	0	244	284	50	6	549	432	0	70	0	0	0	4210	130	0	0	0	512	0	0	0	0	457	0	0	135	71	93	0	32	0	0	0	0	256	37	203	0	0	378	0	0	7	36	0	0	45	0	37	89	0	0	53	166	0	0	125	135	36
