feature	SOKP01	Cutibacterium	Streptomyces	Bifidobacterium	Bifidobacterium.1	Microbacterium	NM07.P.09	Deinococcus	Pseudomonas_E	Pseudomonas	Halomonas	Acidibacter	ZC4RG30	Methylophaga	Thiomicrorhabdus	Hylemonella	Variovorax	Limnohabitans	Acidovorax	Pelomonas	Aquabacterium	Aquabacterium.1	Aquincola	Lautropia	Undibacterium	Massilia	Herbaspirillum	Herbaspirillum.1	Ralstonia	Neisseria	Moraxella_A	Moraxella	Acinetobacter	Klebsiella	Vibrio	Brevundimonas	Caulobacter	Tardiphaga	Bradyrhizobium	Methylobacterium.Methylorubrum	Methylobacterium	Bosea	Nereida	HIMB11	Phaeobacter	Erythrobacter	Qipengyuania	Novosphingobium	Sphingomonas	Pelagibacter	VGCI01	Rikenella	Odoribacter	Alistipes	Phocaeicola	Bacteroides	Prevotella	Cryptobacteroides	Desulfovibrio	Desulfovibrio.1	Desulfovibrio.2	Mucispirillum	Fimbriiglobus	Dysosmobacter	Pelethomonas	Enterenecus	Neglecta	Eubacterium_R	HGM12619	UBA3282	COE1	Lachnospiraceae.NK4A136.group	Gemella	Ligilactobacillus	Lactobacillus	Clostridium	Turicibacter	Staphylococcus	Priestia	Niallia	Rossellomorea	Anaerobacillus	Ileibacterium	Dubosiella	Faecalibaculum	Stenotrophomonas	Lacticaseibacillus	Duncaniella	CAG.485	Duncaniella.1	UBA7173	Paramuribaculum	Muribaculum	Streptococcus
71HT8.fastq	0.00333209922251018	0.00238007087322156	0	0	0.0039667847887026	0	0	0.0175596339979902	0.0580208388427567	0.319141058867086	0.00624107473422542	0.00698154122811657	0.00386100386100386	0.00296186597556461	0.00608240334267732	0	0	0.00232718040937219	0.00248585180092029	0.00867403607129635	0	0.00364944200560639	0	0.00449568942719628	0	0.0268683556354789	0.00301475643941397	0	0.016237372401756	0	0.0011635902046861	0.00306764690326334	0.276881578251441	0	0	0	0	0	0.00761622679430899	0.00370233246945576	0.00698154122811657	0	0.000158671391548104	0.0104194213783255	0	0.00137515206008357	0	0.00200983762627598	0.0241180515153118	0.00190405669857725	0	0.00243296133707093	0.00835669328820014	0.00216850901782409	0.00375522293330512	0	0.00391389432485323	0.00782778864970646	0	0.000793356957740519	0.0134341778177395	0	0	0	0	0.00216850901782409	0	0	0	0.00333209922251018	0	0.0141746443116306	0	0	0.043846194531126	0.00359655154175702	0	0	0	0	0	0	0	0.00550060824033427	0.00798646004125456	0.00248585180092029	0	0.0174009626064421	0.0110012164806685	0	0.000952028349288623	0.00661130798117099	0.000581795102343048	0
43CT5.fastq	0.0131831914309256	0.0017852238396045	0	0	0.00260917330403735	0	0.000961274375171656	0	0.00398242241142543	0.0311727547377094	0.00123592419664927	0.00151057401812689	0.000274649821477616	0.297308431749519	0.493957703927492	0	0	0.00233452348255974	0	0.0017852238396045	0	0	0	0	0	0	0	0	0	0.00233452348255974	0	0.0017852238396045	0.00837681955506729	0.00151057401812689	0	0	0	0	0	0	0	0	0.0017852238396045	0	0.00659159571546278	0	0	0.000823949464432848	0.00068662455369404	0	0	0	0.00631694589398517	0	0.00068662455369404	0	0	0.0102993683054106	0.000961274375171656	0.00357044767920901	0.00700357044767921	0	0	0.000274649821477616	0	0	0.000549299642955232	0.00137324910738808	0	0.00439439714364186	0	0.0119472672342763	0	0	0.0229332600933809	0.000823949464432848	0	0	0	0	0	0	0	0.00480637187585828	0.0152430650920077	0.000549299642955232	0	0.0086514693765449	0.00988739357319418	0	0.000274649821477616	0.010711343037627	0.00274649821477616	0
50HT6.fastq	0.00320221015288984	0.00100461494992622	0.000188365303111167	0	0.00103600916711142	0	0	0	0.071829968919725	0.789501773773271	0.00204062411703764	0.000313942171851945	0.000251153737481556	0	0.00191504724829686	0	0	0	0	0.00141273977333375	0.00062788434370389	0.00144413399051895	0	0	0	0.00288826798103789	0.000345336389037139	0	0.00200922989985245	0	0	0	0.0177691269268201	0	0	0	0.000251153737481556	0.000565095909333501	0.000784855429629862	0.00141273977333375	0.00200922989985245	0.000345336389037139	0.000345336389037139	0	0	0	0	0.0105798511914105	0.00147552820770414	0	0	0.000125576868740778	0.00392427714814931	0.00276269111229712	0	0	0.000879038081185446	0.0110193702320033	0	0.000439519040592723	0.0017266819451857	0	6.2788434370389e-05	0	0.000784855429629862	0	0	0.00288826798103789	0	0.00452076727466801	0	0.0103914858882994	0	0.00122437447022258	0.0139390324302264	0	0	0	0.00175807616237089	0	0	0	0.0028254795466675	0.00646720874015006	0	0	0	0.00590211283081656	0.0062474492198537	0.000659278560889084	0	0.00273129689511192	0.00317081593570464	0
22HT3.fastq	0.0137362637362637	0.00255102040816327	0	0	0.00667189952904239	0	0	0	0.0622056514913658	0.692503924646782	0.00372841444270016	0	0	0.00353218210361068	0.00392464678178964	0	0	0.00137362637362637	0	0	0	0	0	0.00176609105180534	0	0.00392464678178964	0	0	0.00176609105180534	0	0	0.00313971742543171	0.0131475667189953	0	0	0	0	0	0	0	0.00156985871271586	0	0.00098116169544741	0	0	0.00176609105180534	0	0.00196232339089482	0.000588697017268446	0	0	0.00137362637362637	0.010596546310832	0	0.00255102040816327	0	0.00313971742543171	0.0274725274725275	0	0	0.00510204081632653	0	0	0	0	0	0	0	0	0.00843799058084772	0	0.0174646781789639	0.00333594976452119	0	0.0170722135007849	0.00372841444270016	0	0	0.00372841444270016	0	0	0	0.00137362637362637	0.00372841444270016	0.0143249607535322	0.00313971742543171	0.000784929356357928	0.016287284144427	0.00470957613814757	0	0.00156985871271586	0.0131475667189953	0.00510204081632653	0.010989010989011
24HT3.fastq	0	0.00589225589225589	0	0	0	0	0	0	0.0412457912457912	0.535353535353535	0	0	0	0	0.00420875420875421	0	0.0277777777777778	0	0.00420875420875421	0	0	0	0	0	0	0.0244107744107744	0	0	0.00589225589225589	0	0	0	0.00925925925925926	0	0	0	0.00420875420875421	0	0	0	0	0.00673400673400673	0	0	0	0	0	0.196127946127946	0.00673400673400673	0	0	0	0.00336700336700337	0	0	0	0	0.0126262626262626	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0	0.015993265993266	0	0	0.0227272727272727	0	0	0	0	0	0	0	0	0	0.0101010101010101	0	0	0.0117845117845118	0.0185185185185185	0.00757575757575758	0	0.0176767676767677	0	0
107LT11.fastq	0	0	0	0	0	0	0	0	0.039506034868127	0.945853822083147	0	0	0	0	0	0	0.000335270451497541	0	0	0	0	0.000447027268663388	0	0	0	0.000391148860080465	0	0	0.000614662494412159	0	0	0	0.0111756817165847	0	0	0	0	0	0	0.000335270451497541	0.000391148860080465	0	0	0.000335270451497541	0	0	0	0.000502905677246312	0.000111756817165847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42CT5.fastq	0.0427074939564867	0.00604351329572925	0	0	0	0	0	0	0.0551974214343272	0.450846091861402	0.0088638195004029	0	0	0.00201450443190975	0.00282030620467365	0	0	0.0016116035455278	0	0.0048348106365834	0	0.0032232070910556	0	0.00362610797743755	0	0.0108783239323127	0	0	0.0112812248186946	0	0	0.00846091861402095	0.0435132957292506	0	0	0	0	0	0	0	0.0016116035455278	0	0	0	0.0072522159548751	0	0	0.00604351329572925	0.00120870265914585	0	0	0.00120870265914585	0.0104754230459307	0	0.0056406124093473	0.00684931506849315	0.0040290088638195	0.0112812248186946	0	0.0088638195004029	0.0132957292506044	0	0.00201450443190975	0	0	0	0	0.00362610797743755	0	0.0116841257050766	0.0124899274778405	0.0233682514101531	0	0.0124899274778405	0.0576148267526189	0	0	0	0.0290088638195004	0	0	0.0008058017727639	0.0048348106365834	0.0056406124093473	0.0040290088638195	0	0	0.0419016921837228	0.0213537469782434	0	0	0.0261885576148268	0.00926672038678485	0
46CT5.fastq	0.00349495446714251	0.00132906719173025	0	0	0	0	0	0.00339650504553286	0.0169333005168595	0.100369185331036	0.00255968496185085	0.00177208958897366	0	0	0.00315038149150874	0.00280580851587497	0	0	0	0.000393797686438592	0	0.00152596603494954	0	0	0	0.0260890967265567	0	0	0.0200344572975634	0.00147674132414472	0.0026581343834605	0	0.59020428254984	0	0	0	0	0	0.000689145951267536	0	0.00236278611863155	0	0	0	0	0	0	0	0.00792517843957667	0.00408565099680039	0	0	0	0	0	0	0	0.0164410534088112	0	0.00797440315038149	0.00310115678070391	0	0	0	0	0	0.00575929116416441	0	0	0.0367708589712035	0	0.0128476495200591	0	0	0.107014521289687	0	0	0	0	0	0	0	0.0038887521535811	0.00812207728279596	0	0	0	0.00290425793748462	0.00191976372138814	0	0	0	0	0
44CT5.fastq	0.00503771693833412	0	0	0.00079126444057604	0	0	0	0.00100226829139632	0.297278050324418	0.533101229097431	0.00134514954897927	0	0	0	0	0.00501134145698159	0	0	0	0.00200453658279264	0.000712137996518437	0.00179353273197236	0	0	0.00292767843013135	0.00142427599303687	0.00113414569815899	0	0.000975892810043783	0	0	0	0.126866065305692	0	0	0	0.000527509627050694	0	0.000290130294877882	0.000369256738935486	0.000817639921928575	0	0	0	0	0	0	0.00123964762356913	0.00158252888115208	0	0	0	0.00292767843013135	0	0	0	0	0.000606636071108298	0	0	0.000316505776230416	0	0	0	0	0	0	0.00216278947090784	0	0.000764888959223506	0	0.000949517328691249	0	0	0	0.000738513477870971	0	0	0.00403544864693781	0	0	0	0	0.000290130294877882	0	0	0	0	0	0	0	0.000975892810043783	0	0
21HT3.fastq	0.0169230769230769	0.00962962962962963	0	0	0.00564102564102564	0	0	0.00170940170940171	0.0199430199430199	0.299031339031339	0.0141310541310541	0.00279202279202279	0.00239316239316239	0.0128205128205128	0.012022792022792	0	0.00438746438746439	0	0	0.000683760683760684	0	0	0	0	0	0.0613105413105413	0	0	0	0	0.00307692307692308	0.00421652421652422	0.0234188034188034	0	0	0	0.0139031339031339	0.0161823361823362	0.00284900284900285	0.000341880341880342	0.0312820512820513	0.0246153846153846	0	0.00398860398860399	0	0	0	0.23988603988604	0.00740740740740741	0	0	0	0.0291737891737892	0	0	0	0	0.026039886039886	0	0	0.00769230769230769	0.00404558404558405	0.0052991452991453	0	0.00182336182336182	0	0	0	0	0.0145868945868946	0.00210826210826211	0.0115669515669516	0	0	0.0215384615384615	0	0	0.000398860398860399	0.00205128205128205	0	0	0.00256410256410256	0	0.00210826210826211	0.00507122507122507	0	0	0.00301994301994302	0.00945868945868946	0	0	0.00712250712250712	0.00769230769230769	0.00205128205128205
