feature	SOKP01	Cutibacterium	Streptomyces	Bifidobacterium	Bifidobacterium.1	Microbacterium	NM07.P.09	Deinococcus	Pseudomonas_E	Pseudomonas	Halomonas	Acidibacter	ZC4RG30	Methylophaga	Thiomicrorhabdus	Hylemonella	Variovorax	Limnohabitans	Acidovorax	Pelomonas	Aquabacterium	Aquabacterium.1	Aquincola	Lautropia	Undibacterium	Massilia	Herbaspirillum	Herbaspirillum.1	Ralstonia	Neisseria	Moraxella_A	Moraxella	Acinetobacter	Klebsiella	Vibrio	Brevundimonas	Caulobacter	Tardiphaga	Bradyrhizobium	Methylobacterium.Methylorubrum	Methylobacterium	Bosea	Nereida	HIMB11	Phaeobacter	Erythrobacter	Qipengyuania	Novosphingobium	Sphingomonas	Pelagibacter	VGCI01	Rikenella	Odoribacter	Alistipes	Phocaeicola	Bacteroides	Prevotella	Cryptobacteroides	Desulfovibrio	Desulfovibrio.1	Desulfovibrio.2	Mucispirillum	Fimbriiglobus	Dysosmobacter	Pelethomonas	Enterenecus	Neglecta	Eubacterium_R	HGM12619	UBA3282	COE1	Lachnospiraceae.NK4A136.group	Gemella	Ligilactobacillus	Lactobacillus	Clostridium	Turicibacter	Staphylococcus	Priestia	Niallia	Rossellomorea	Anaerobacillus	Ileibacterium	Dubosiella	Faecalibaculum	Stenotrophomonas	Lacticaseibacillus	Duncaniella	CAG.485	Duncaniella.1	UBA7173	Paramuribaculum	Muribaculum	Streptococcus
71HT8.fastq	-8.22935292306665	-8.7147797502369	-13.3741791345532	-14.7020103080886	-7.97781415607069	-14.4697371967806	-13.0304947197495	-5.83159341521965	-4.10728503616338	-1.64773386541987	-7.32398979720473	-7.16223872720812	-8.01680828768655	-8.39927792450897	-7.3611427956222	-13.927098916031	-12.6157215840088	-8.74720122792927	-8.65204399488893	-6.84908084194849	-14.2817851707837	-8.0981083897884	-14.4737374540671	-7.79724191042887	-14.4729763549577	-5.21794815979441	-8.37374283240183	-15.0640269646657	-5.94453800119639	-12.0335213280013	-9.74720122792927	-8.348651851439	-1.8526590247484	-13.4384020227968	-14.1616830258014	-14.2406795487735	-14.5881680566627	-14.7249046011605	-7.03670784512426	-8.07734982962161	-7.16223872720812	-14.6615554424678	-12.6216703458454	-6.58458102711019	-13.6678876912915	-9.50619312842548	-13.4729763549577	-8.95870533312299	-5.37374283240183	-9.03670784512426	-14.7249046011605	-8.68307089050956	-6.90285209838947	-8.84908084194849	-8.05688572706189	-14.352687178175	-7.99717948093762	-6.99717948093762	-12.8745971924016	-10.2997422509581	-6.21794815979441	-12.3247993548187	-14.9591416352744	-12.8301190254445	-12.6325976744462	-8.84908084194849	-13.047635173725	-12.4517906496726	-13.381079385056	-8.22935292306665	-13.6034718063924	-6.1405436561088	-13.0680584780199	-13.5323559252888	-4.51140455507082	-8.11917000531623	-13.4541279012774	-14.5850799027671	-13.451146704366	-14.3924963173218	-13.6650186112167	-13.0242162374208	-11.8605327692339	-7.50619312842548	-6.96822810724149	-8.65204399488893	-13.3459595964041	-5.84468907283133	-6.50619312842548	-12.9473934245677	-10.0367078451243	-7.24084856190448	-10.7472012279293	-10.3121883834926
43CT5.fastq	-6.24515652472336	-9.12967930730342	-13.3741791345532	-14.7020103080886	-8.58219151200093	-14.4697371967806	-10.0227641033869	-15.4729763549577	-7.97213803031694	-5.0035705381536	-9.6601940240022	-9.37068740680722	-11.8301190254445	-1.74996771583043	-1.01754058130914	-13.927098916031	-12.6157215840088	-8.74265618419417	-14.234268583804	-9.12967930730342	-14.2817851707837	-13.7767414433999	-14.4737374540671	-13.6489192697882	-14.4729763549577	-15.2465179431889	-15.1263818305426	-15.0640269646657	-15.1169530788488	-8.74265618419417	-13.7420988697783	-9.12967930730342	-6.89938168788163	-9.37068740680722	-14.1616830258014	-14.2406795487735	-14.5881680566627	-14.7249046011605	-13.8957961505405	-15.4700868678253	-14.8881724496659	-14.6615554424678	-9.12967930730342	-12.5636729598275	-7.24515652472336	-13.0242162374208	-13.4729763549577	-10.2451565247234	-10.5081909305572	-12.0200076319992	-14.7249046011605	-13.9591416352744	-7.3065570693875	-13.8661842036449	-10.5081909305572	-14.352687178175	-14.0233645235179	-6.60130033494863	-10.0227641033869	-8.12967930730342	-7.15769368347302	-12.3247993548187	-14.9591416352744	-11.8301190254445	-12.6325976744462	-11.7171623071112	-10.8301190254445	-9.50819093055715	-13.381079385056	-7.83011902544451	-13.6034718063924	-6.38717552959579	-13.0680584780199	-13.5323559252888	-5.44641473297046	-10.2451565247234	-13.4541279012774	-14.5850799027671	-13.451146704366	-14.3924963173218	-13.6650186112167	-13.0242162374208	-11.8605327692339	-7.70083600849955	-6.03570315909441	-10.8301190254445	-13.3459595964041	-6.8528391019446	-6.6601940240022	-12.9473934245677	-11.8301190254445	-6.54471680658227	-8.50819093055715	-10.3121883834926
50HT6.fastq	-8.28671629330289	-9.95914163527438	-12.3741791345532	-14.7020103080886	-9.91474751591593	-14.4697371967806	-13.0304947197495	-15.4729763549577	-3.799270298496	-0.340985587495926	-8.93677382224593	-11.637213540387	-11.9591416352744	-13.352687178175	-9.0284042977115	-13.927098916031	-12.6157215840088	-12.8605327692339	-14.234268583804	-9.46728853894471	-10.637213540387	-9.43557967921737	-14.4737374540671	-13.6489192697882	-14.4729763549577	-8.43557967921737	-11.4997100166371	-15.0640269646657	-8.95914163527438	-12.0335213280013	-13.7420988697783	-13.6049701327204	-5.8144833924425	-13.4384020227968	-14.1616830258014	-14.2406795487735	-11.9591416352744	-10.7892166338321	-10.3152854454997	-9.46728853894471	-8.95914163527438	-11.4997100166371	-11.4997100166371	-12.5636729598275	-13.6678876912915	-13.0242162374208	-13.4729763549577	-6.56253685409253	-9.40455278359675	-12.0200076319992	-14.7249046011605	-12.9591416352744	-7.9933573506123	-8.49971001663709	-12.5120614167522	-14.352687178175	-10.1517867132168	-6.50381441496982	-12.8745971924016	-11.1517867132168	-9.17778192174972	-12.3247993548187	-13.9591416352744	-12.8301190254445	-10.3152854454997	-11.7171623071112	-13.047635173725	-8.43557967921737	-13.381079385056	-7.78921663383207	-13.6034718063924	-6.58845422846717	-13.0680584780199	-9.67373941641214	-6.16472576892428	-13.6678876912915	-13.4541279012774	-14.5850799027671	-9.15178671321678	-14.3924963173218	-13.6650186112167	-13.0242162374208	-8.46728853894471	-7.27264110809117	-13.1884343071136	-11.927098916031	-13.3459595964041	-7.40455278359675	-7.32251701473074	-10.5668242124956	-12.8301190254445	-8.51619813942566	-8.30093015252259	-10.3121883834926
22HT3.fastq	-6.18586654531133	-8.61470984411521	-13.3741791345532	-14.7020103080886	-7.22768672100596	-14.4697371967806	-13.0304947197495	-15.4729763549577	-4.00681053211689	-0.530105847476576	-8.06722204881271	-13.7020103080886	-14.0215872981245	-8.14522456081399	-7.99322146736894	-13.927098916031	-12.6157215840088	-9.5077946401987	-14.234268583804	-14.4737374540671	-14.2817851707837	-13.7767414433999	-14.4737374540671	-9.14522456081399	-14.4729763549577	-7.99322146736894	-15.1263818305426	-15.0640269646657	-9.14522456081399	-12.0335213280013	-13.7420988697783	-8.3151495622563	-6.24906037179853	-13.4384020227968	-14.1616830258014	-14.2406795487735	-14.5881680566627	-14.7249046011605	-13.8957961505405	-15.4700868678253	-9.3151495622563	-14.6615554424678	-9.99322146736894	-12.5636729598275	-13.6678876912915	-9.14522456081399	-13.4729763549577	-8.99322146736894	-10.7301870615351	-12.0200076319992	-14.7249046011605	-9.5077946401987	-6.56026206009283	-13.8661842036449	-8.61470984411521	-14.352687178175	-8.3151495622563	-5.18586654531133	-12.8745971924016	-12.894655386031	-7.61470984411521	-12.3247993548187	-14.9591416352744	-12.8301190254445	-12.6325976744462	-11.7171623071112	-13.047635173725	-12.4517906496726	-13.381079385056	-6.8888848075542	-13.6034718063924	-5.8394161312899	-8.22768672100596	-13.5323559252888	-5.87220606640757	-8.06722204881271	-13.4541279012774	-14.5850799027671	-8.06722204881271	-14.3924963173218	-13.6650186112167	-13.0242162374208	-9.5077946401987	-8.06722204881271	-6.12532500337628	-8.3151495622563	-10.3151495622563	-5.94011013090938	-7.73018706153514	-12.9473934245677	-9.3151495622563	-6.24906037179853	-7.61470984411521	-6.5077946401987
24HT3.fastq	-12.8415643477306	-7.40696419874316	-13.3741791345532	-14.7020103080886	-12.8192310845252	-14.4697371967806	-13.0304947197495	-15.4729763549577	-4.59960927668556	-0.90143616551641	-12.0233645235179	-13.7020103080886	-14.0215872981245	-13.352687178175	-7.8923910259134	-13.927098916031	-5.16992500144231	-12.8605327692339	-7.8923910259134	-14.4737374540671	-14.2817851707837	-13.7767414433999	-14.4737374540671	-13.6489192697882	-14.4729763549577	-5.35633812567319	-15.1263818305426	-15.0640269646657	-7.40696419874316	-12.0335213280013	-13.7420988697783	-13.6049701327204	-6.75488750216347	-13.4384020227968	-14.1616830258014	-14.2406795487735	-7.8923910259134	-14.7249046011605	-13.8957961505405	-15.4700868678253	-14.8881724496659	-7.21431912080077	-13.6216703458454	-12.5636729598275	-13.6678876912915	-13.0242162374208	-13.4729763549577	-2.35013297614649	-7.21431912080077	-12.0200076319992	-14.7249046011605	-13.9591416352744	-8.21431912080077	-13.8661842036449	-12.5120614167522	-14.352687178175	-14.0233645235179	-6.30742852519225	-12.8745971924016	-12.894655386031	-13.4384020227968	-12.3247993548187	-14.9591416352744	-12.8301190254445	-12.6325976744462	-11.7171623071112	-13.047635173725	-12.4517906496726	-7.04439411935845	-14.7284165792168	-13.6034718063924	-5.96639160735718	-13.0680584780199	-13.5323559252888	-5.4594316186373	-13.6678876912915	-13.4541279012774	-14.5850799027671	-13.451146704366	-14.3924963173218	-13.6650186112167	-13.0242162374208	-11.8605327692339	-13.6489192697882	-6.62935662007961	-11.927098916031	-13.3459595964041	-6.40696419874316	-5.75488750216347	-7.04439411935845	-12.8301190254445	-5.82200169802201	-13.3937591288623	-10.3121883834926
107LT11.fastq	-12.8415643477306	-13.0493948004168	-13.3741791345532	-14.7020103080886	-12.8192310845252	-14.4697371967806	-13.0304947197495	-15.4729763549577	-4.66178313624972	-0.0803108568311548	-12.0233645235179	-13.7020103080886	-14.0215872981245	-13.352687178175	-15.4681785407733	-13.927098916031	-11.542387040338	-12.8605327692339	-14.234268583804	-14.4737374540671	-14.2817851707837	-11.1273495410591	-14.4737374540671	-13.6489192697882	-14.4729763549577	-11.3199946190015	-15.1263818305426	-15.0640269646657	-10.6679179224218	-12.0335213280013	-13.7420988697783	-13.6049701327204	-6.48349335128439	-13.4384020227968	-14.1616830258014	-14.2406795487735	-14.5881680566627	-14.7249046011605	-13.8957961505405	-11.542387040338	-11.3199946190015	-14.6615554424678	-13.6216703458454	-11.542387040338	-13.6678876912915	-13.0242162374208	-13.4729763549577	-10.9574245396168	-13.1273495410591	-12.0200076319992	-14.7249046011605	-13.9591416352744	-13.2436202928472	-13.8661842036449	-12.5120614167522	-14.352687178175	-14.0233645235179	-15.2436202928472	-12.8745971924016	-12.894655386031	-13.4384020227968	-12.3247993548187	-14.9591416352744	-12.8301190254445	-12.6325976744462	-11.7171623071112	-13.047635173725	-12.4517906496726	-13.381079385056	-14.7284165792168	-13.6034718063924	-15.3937591288623	-13.0680584780199	-13.5323559252888	-15.139791142151	-13.6678876912915	-13.4541279012774	-14.5850799027671	-13.451146704366	-14.3924963173218	-13.6650186112167	-13.0242162374208	-11.8605327692339	-13.6489192697882	-13.1884343071136	-11.927098916031	-13.3459595964041	-13.0253126199217	-14.6102751206429	-12.9473934245677	-12.8301190254445	-13.7767414433999	-13.3937591288623	-10.3121883834926
42CT5.fastq	-4.54936694556716	-7.37039680452184	-13.3741791345532	-14.7020103080886	-12.8192310845252	-14.4697371967806	-13.0304947197495	-15.4729763549577	-4.17925531716983	-1.14929307915396	-6.81785578149306	-13.7020103080886	-14.0215872981245	-8.95535930524299	-8.46993247807275	-13.927098916031	-12.6157215840088	-9.27728740013036	-14.234268583804	-7.6923248994092	-14.2817851707837	-8.27728740013036	-14.4737374540671	-8.10736239868804	-14.4729763549577	-6.52239989796689	-15.1263818305426	-15.0640269646657	-6.46993247807275	-12.0335213280013	-13.7420988697783	-6.8849699773516	-4.52239989796689	-13.4384020227968	-14.1616830258014	-14.2406795487735	-14.5881680566627	-14.7249046011605	-13.8957961505405	-15.4700868678253	-9.27728740013036	-14.6615554424678	-13.6216703458454	-12.5636729598275	-7.10736239868804	-13.0242162374208	-13.4729763549577	-7.37039680452184	-9.6923248994092	-12.0200076319992	-14.7249046011605	-9.6923248994092	-6.57684768198926	-13.8661842036449	-7.46993247807275	-7.18982455888002	-7.95535930524299	-6.46993247807275	-12.8745971924016	-6.81785578149306	-6.2328932807719	-12.3247993548187	-8.95535930524299	-12.8301190254445	-12.6325976744462	-11.7171623071112	-13.047635173725	-8.10736239868804	-13.381079385056	-6.41930640500278	-6.32309108974348	-5.41930640500278	-13.0680584780199	-6.32309108974348	-4.11741606335197	-13.6678876912915	-13.4541279012774	-14.5850799027671	-5.10736239868804	-14.3924963173218	-13.6650186112167	-10.2772874001304	-7.6923248994092	-7.46993247807275	-7.95535930524299	-11.927098916031	-13.3459595964041	-4.57684768198926	-5.54936694556716	-12.9473934245677	-12.8301190254445	-5.2549195871019	-6.75372544407334	-10.3121883834926
46CT5.fastq	-8.16051062461377	-9.55537024195498	-13.3741791345532	-14.7020103080886	-12.8192310845252	-14.4697371967806	-13.0304947197495	-8.20173328734028	-5.88399298941635	-3.31661168410185	-8.60981802597736	-9.14033274267614	-14.0215872981245	-13.352687178175	-8.31025774411845	-8.47736772995371	-12.6157215840088	-12.8605327692339	-14.234268583804	-11.3102577441185	-14.2817851707837	-9.35606143373158	-14.4737374540671	-13.6489192697882	-14.4729763549577	-5.26040919466789	-15.1263818305426	-15.0640269646657	-5.6413727598522	-9.40336714850993	-8.55537024195498	-13.6049701327204	-0.760713705816864	-13.4384020227968	-14.1616830258014	-14.2406795487735	-14.5881680566627	-14.7249046011605	-10.5029028220608	-15.4700868678253	-8.72529524339729	-14.6615554424678	-13.6216703458454	-12.5636729598275	-13.6678876912915	-13.0242162374208	-13.4729763549577	-15.0327775677729	-6.97934086600383	-7.93521831277153	-14.7249046011605	-13.9591416352744	-13.2436202928472	-13.8661842036449	-12.5120614167522	-14.352687178175	-14.0233645235179	-5.9265534516444	-12.8745971924016	-6.97040774123383	-8.33297782061853	-12.3247993548187	-14.9591416352744	-12.8301190254445	-12.6325976744462	-11.7171623071112	-7.43989302453505	-12.4517906496726	-13.381079385056	-4.76529331132921	-13.6034718063924	-6.28235174754857	-13.0680584780199	-13.5323559252888	-3.22412151909114	-13.6678876912915	-13.4541279012774	-14.5850799027671	-13.451146704366	-14.3924963173218	-13.6650186112167	-13.0242162374208	-8.00647699594135	-6.94393552987263	-13.1884343071136	-11.927098916031	-13.3459595964041	-8.42761469475661	-9.0248555252562	-12.9473934245677	-12.8301190254445	-13.7767414433999	-13.3937591288623	-10.3121883834926
44CT5.fastq	-7.63301422315649	-13.0493948004168	-13.3741791345532	-10.3035524555837	-12.8192310845252	-14.4697371967806	-13.0304947197495	-9.96251553774865	-1.75011514982931	-0.907518586574283	-9.53801770922074	-13.7020103080886	-14.0215872981245	-13.352687178175	-15.4681785407733	-7.64058744286129	-12.6157215840088	-12.8605327692339	-14.234268583804	-8.96251553774865	-10.4555555490288	-9.1229802099419	-14.4737374540671	-13.6489192697882	-8.41602718484213	-9.45555554902877	-9.78417829649014	-15.0640269646657	-10.0009896855633	-12.0335213280013	-13.7420988697783	-13.6049701327204	-2.97862187253483	-13.4384020227968	-14.1616830258014	-14.2406795487735	-10.8885149563049	-14.7249046011605	-11.7510114325549	-11.4030881291346	-10.2562467408054	-14.6615554424678	-13.6216703458454	-12.5636729598275	-13.6678876912915	-13.0242162374208	-13.4729763549577	-9.6558541995146	-9.30355245558372	-12.0200076319992	-14.7249046011605	-13.9591416352744	-8.41602718484213	-13.8661842036449	-12.5120614167522	-14.352687178175	-14.0233645235179	-10.6868810951352	-12.8745971924016	-12.894655386031	-11.6254805504711	-12.3247993548187	-14.9591416352744	-12.8301190254445	-12.6325976744462	-11.7171623071112	-13.047635173725	-8.85289104657415	-13.381079385056	-10.3524620560647	-13.6034718063924	-10.0405180497499	-13.0680584780199	-13.5323559252888	-15.139791142151	-10.4030881291346	-13.4541279012774	-14.5850799027671	-7.95305520849958	-14.3924963173218	-13.6650186112167	-13.0242162374208	-11.8605327692339	-11.7510114325549	-13.1884343071136	-11.927098916031	-13.3459595964041	-13.0253126199217	-14.6102751206429	-12.9473934245677	-12.8301190254445	-10.0009896855633	-13.3937591288623	-10.3121883834926
21HT3.fastq	-5.88486428927852	-6.6983039737971	-13.3741791345532	-14.7020103080886	-7.46982678999968	-14.4697371967806	-13.0304947197495	-9.19229281447077	-5.64797229824696	-1.7416314054612	-6.14498709969241	-8.48447356596408	-8.70686598730052	-6.28540221886225	-6.3780842213721	-13.927098916031	-7.83239686938438	-12.8605327692339	-14.234268583804	-10.5142209093581	-14.2817851707837	-13.7767414433999	-14.4737374540671	-13.6489192697882	-14.4729763549577	-4.02772104752266	-15.1263818305426	-15.0640269646657	-15.1169530788488	-12.0335213280013	-8.34429590791582	-7.88973004445034	-5.4161888263976	-13.4384020227968	-14.1616830258014	-14.2406795487735	-6.1684460725164	-5.9494362905746	-8.45532722030456	-11.5142209093581	-4.99852107107409	-5.34429590791582	-13.6216703458454	-7.96990039313432	-13.6678876912915	-13.0242162374208	-13.4729763549577	-2.05957889212553	-7.07681559705083	-12.0200076319992	-14.7249046011605	-13.9591416352744	-5.09918341007929	-13.8661842036449	-12.5120614167522	-14.352687178175	-14.0233645235179	-5.26313305502122	-12.8745971924016	-12.894655386031	-7.02236781302845	-7.9494362905746	-7.56002459897125	-12.8301190254445	-9.09918341007929	-11.7171623071112	-13.047635173725	-12.4517906496726	-13.381079385056	-6.09918341007929	-8.88973004445034	-6.43384749289411	-13.0680584780199	-13.5323559252888	-5.53694098585821	-13.6678876912915	-13.4541279012774	-11.2918284880217	-8.92925840863697	-14.3924963173218	-13.6650186112167	-8.60733031374961	-11.8605327692339	-8.88973004445034	-7.62344997911289	-11.927098916031	-13.3459595964041	-8.37126295551609	-6.72414397873236	-12.9473934245677	-12.8301190254445	-7.1333991254172	-7.02236781302845	-8.92925840863697
