Genus,n_samples_present,prevalence,prevalence_percent,total_reads
Pseudomonas_E,121,1,100,392420
Pseudomonas,121,1,100,1812482
Acinetobacter,121,1,100,265286
Novosphingobium,103,0.8512396694214877,85.12396694214877,30435
Ralstonia,97,0.8016528925619835,80.16528925619835,12957
Sphingomonas,96,0.7933884297520661,79.33884297520662,7173
Massilia,95,0.7851239669421488,78.51239669421489,31310
Lactobacillus,82,0.6776859504132231,67.76859504132231,41969
Aquabacterium.1,76,0.628099173553719,62.8099173553719,5599
Methylobacterium,76,0.628099173553719,62.8099173553719,6050
Lachnospiraceae.NK4A136.group,73,0.6033057851239669,60.33057851239669,17594
Pelomonas,68,0.5619834710743802,56.19834710743802,7274
Cryptobacteroides,67,0.5537190082644629,55.371900826446286,18955
Hylemonella,64,0.5289256198347108,52.892561983471076,2918
UBA3282,62,0.512396694214876,51.2396694214876,8337
Priestia,62,0.512396694214876,51.2396694214876,26722
Odoribacter,60,0.49586776859504134,49.586776859504134,18809
Methylobacterium.Methylorubrum,59,0.48760330578512395,48.760330578512395,2859
Duncaniella,59,0.48760330578512395,48.760330578512395,11523
Deinococcus,58,0.4793388429752066,47.93388429752066,7421
Caulobacter,55,0.45454545454545453,45.45454545454545,1756
CAG.485,55,0.45454545454545453,45.45454545454545,7904
SOKP01,54,0.4462809917355372,44.62809917355372,8867
Paramuribaculum,54,0.4462809917355372,44.62809917355372,6676
Halomonas,52,0.4297520661157025,42.97520661157025,9795
Faecalibaculum,49,0.4049586776859504,40.49586776859504,7321
Muribaculum,49,0.4049586776859504,40.49586776859504,5335
Dubosiella,48,0.39669421487603307,39.66942148760331,4609
Desulfovibrio.2,47,0.3884297520661157,38.84297520661157,7135
Undibacterium,43,0.35537190082644626,35.53719008264463,2400
Bradyrhizobium,41,0.33884297520661155,33.88429752066116,3290
Phocaeicola,41,0.33884297520661155,33.88429752066116,3191
Herbaspirillum,39,0.32231404958677684,32.231404958677686,1597
Cutibacterium,38,0.3140495867768595,31.40495867768595,6745
Thiomicrorhabdus,37,0.30578512396694213,30.57851239669421,6584
Desulfovibrio.1,37,0.30578512396694213,30.57851239669421,2227
Methylophaga,34,0.2809917355371901,28.09917355371901,4571
Rikenella,34,0.2809917355371901,28.09917355371901,2326
Clostridium,32,0.2644628099173554,26.446280991735538,2193
Bifidobacterium.1,31,0.256198347107438,25.6198347107438,2326
Ligilactobacillus,31,0.256198347107438,25.6198347107438,1831
Moraxella,30,0.24793388429752067,24.793388429752067,3221
Fimbriiglobus,30,0.24793388429752067,24.793388429752067,2854
ZC4RG30,29,0.2396694214876033,23.96694214876033,2063
Bacteroides,29,0.2396694214876033,23.96694214876033,2100
Prevotella,28,0.23140495867768596,23.140495867768596,1127
Acidovorax,27,0.2231404958677686,22.31404958677686,1152
Aquincola,27,0.2231404958677686,22.31404958677686,821
Ileibacterium,27,0.2231404958677686,22.31404958677686,1407
Nereida,26,0.21487603305785125,21.487603305785125,2275
COE1,26,0.21487603305785125,21.487603305785125,2274
Acidibacter,25,0.2066115702479339,20.66115702479339,1906
Variovorax,25,0.2066115702479339,20.66115702479339,2649
Alistipes,25,0.2066115702479339,20.66115702479339,1432
Duncaniella.1,25,0.2066115702479339,20.66115702479339,1002
HIMB11,24,0.19834710743801653,19.834710743801654,1626
Moraxella_A,23,0.19008264462809918,19.00826446280992,1050
Mucispirillum,22,0.18181818181818182,18.181818181818183,724
Rossellomorea,22,0.18181818181818182,18.181818181818183,1931
Aquabacterium,20,0.1652892561983471,16.528925619834713,1242
Eubacterium_R,20,0.1652892561983471,16.528925619834713,1422
Herbaspirillum.1,19,0.15702479338842976,15.702479338842975,619
Klebsiella,19,0.15702479338842976,15.702479338842975,889
Desulfovibrio,19,0.15702479338842976,15.702479338842975,506
Stenotrophomonas,19,0.15702479338842976,15.702479338842975,1017
Neisseria,18,0.1487603305785124,14.87603305785124,1074
Gemella,18,0.1487603305785124,14.87603305785124,547
Bifidobacterium,17,0.14049586776859505,14.049586776859504,2166
Staphylococcus,17,0.14049586776859505,14.049586776859504,305
Limnohabitans,16,0.1322314049586777,13.223140495867769,439
Tardiphaga,16,0.1322314049586777,13.223140495867769,964
Erythrobacter,16,0.1322314049586777,13.223140495867769,482
Qipengyuania,16,0.1322314049586777,13.223140495867769,462
Dysosmobacter,16,0.1322314049586777,13.223140495867769,605
Turicibacter,16,0.1322314049586777,13.223140495867769,576
Microbacterium,15,0.12396694214876033,12.396694214876034,542
HGM12619,15,0.12396694214876033,12.396694214876034,497
Streptomyces,14,0.11570247933884298,11.570247933884298,544
Lautropia,14,0.11570247933884298,11.570247933884298,974
Bosea,14,0.11570247933884298,11.570247933884298,714
Phaeobacter,14,0.11570247933884298,11.570247933884298,512
VGCI01,14,0.11570247933884298,11.570247933884298,272
Niallia,14,0.11570247933884298,11.570247933884298,927
UBA7173,14,0.11570247933884298,11.570247933884298,471
Streptococcus,14,0.11570247933884298,11.570247933884298,1079
NM07.P.09,13,0.10743801652892562,10.743801652892563,355
Vibrio,13,0.10743801652892562,10.743801652892563,1202
Brevundimonas,13,0.10743801652892562,10.743801652892563,359
Pelagibacter,13,0.10743801652892562,10.743801652892563,1373
Pelethomonas,13,0.10743801652892562,10.743801652892563,718
Enterenecus,13,0.10743801652892562,10.743801652892563,734
Neglecta,13,0.10743801652892562,10.743801652892563,336
Anaerobacillus,13,0.10743801652892562,10.743801652892563,1270
Lacticaseibacillus,13,0.10743801652892562,10.743801652892563,318
