feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibaculum	log_reads	log_reads	-1.43756190200287	0.283171275361871	121	49	1.47339666848792e-06	0.000415497860513594
Lachnospiraceae.NK4A136.group	log_reads	log_reads	-1.5258642973593	0.361909000536351	121	73	5.0675383527706e-05	0.00714522907740655
Bradyrhizobium	log_reads	log_reads	0.906253092821291	0.229669133074118	121	41	0.000139881782190842	0.0131488875259392
Ileibacterium	log_reads	log_reads	-0.607749010000714	0.159652887879626	121	27	0.000257999824048288	0.0181889875954043
ZC4RG30	log_reads	log_reads	0.796635349951241	0.221172448071489	121	29	0.000473057834706396	0.0252474584347117
Desulfovibrio.1	log_reads	log_reads	-0.826098320833484	0.232005648839179	121	37	0.000537179966695993	0.0252474584347117
Methylobacterium	log_reads	log_reads	1.04022969778057	0.316373193776101	121	76	0.00133529621476364	0.0499276877670177
Paramuribaculum	log_reads	log_reads	-1.0949524967493	0.334877537333029	121	54	0.00141638830544731	0.0499276877670177
CAG.485	log_reads	log_reads	-1.15712605950213	0.374336522144075	121	55	0.00249504487357884	0.0781780727054702
Cryptobacteroides	log_reads	log_reads	-1.2808563747268	0.426421322989194	121	67	0.00326966360122801	0.0868540854679078
Stenotrophomonas	log_reads	log_reads	-0.399868276565251	0.133411077256916	121	19	0.00338792531967016	0.0868540854679078
Moraxella_A	treatment	Low	-1.43081112105923	0.440069013394043	121	23	0.00426159006989743	0.10014736664259
Mucispirillum	log_reads	log_reads	-0.382477341124414	0.136104345286354	121	22	0.00580587094501657	0.125942738961129
Methylobacterium.Methylorubrum	log_reads	log_reads	0.898778654487082	0.324445779975315	121	59	0.00673374998417284	0.13563696396691
SOKP01	log_reads	log_reads	-0.781152841619071	0.295809342267971	121	54	0.00940906552271802	0.149213947194767
Lactobacillus	log_reads	log_reads	-1.03860895409574	0.385645605266305	121	82	0.00817383224244572	0.149213947194767
Duncaniella	log_reads	log_reads	-0.846628327069609	0.32116259377237	121	59	0.00952429450179361	0.149213947194767
Muribaculum	log_reads	log_reads	-0.83571979487832	0.314583371868287	121	49	0.0090219330737743	0.149213947194767
Moraxella	log_reads	log_reads	-0.654198844479534	0.250185612928893	121	30	0.0101056613937196	0.149989290159418
Thiomicrorhabdus	log_reads	log_reads	-0.971302748499344	0.382414544850332	121	37	0.0125324207210862	0.164427625549807
