feature,treatment,n_samples,n_detected,prevalence_percent,median_count_when_present
Acidibacter,Control,38,4,10.526315789473683,55
Acidibacter,Low,33,8,24.242424242424242,24
Acidibacter,High,50,13,26,20
Acidovorax,Control,38,7,18.421052631578945,15
Acidovorax,Low,33,7,21.21212121212121,8
Acidovorax,High,50,13,26,12
Acinetobacter,Control,38,38,100,672
Acinetobacter,Low,33,33,100,762
Acinetobacter,High,50,50,100,646
Alistipes,Control,38,6,15.789473684210526,20
Alistipes,Low,33,7,21.21212121212121,39
Alistipes,High,50,12,24,44.5
Anaerobacillus,Control,38,3,7.894736842105263,10
Anaerobacillus,Low,33,3,9.090909090909092,44
Anaerobacillus,High,50,7,14.000000000000002,45
Aquabacterium,Control,38,9,23.684210526315788,23
Aquabacterium,Low,33,5,15.151515151515152,10
Aquabacterium,High,50,6,12,17.5
Aquabacterium.1,Control,38,27,71.05263157894737,26
Aquabacterium.1,Low,33,20,60.60606060606061,22
Aquabacterium.1,High,50,29,57.99999999999999,27
Aquincola,Control,38,10,26.31578947368421,18.5
Aquincola,Low,33,9,27.27272727272727,8
Aquincola,High,50,8,16,10
Bacteroides,Control,38,5,13.157894736842104,18
Bacteroides,Low,33,10,30.303030303030305,27
Bacteroides,High,50,14,28.000000000000004,28.5
Bifidobacterium,Control,38,5,13.157894736842104,94
Bifidobacterium,Low,33,6,18.181818181818183,30.5
Bifidobacterium,High,50,6,12,35.5
Bifidobacterium.1,Control,38,9,23.684210526315788,40
Bifidobacterium.1,Low,33,8,24.242424242424242,59.5
Bifidobacterium.1,High,50,14,28.000000000000004,72.5
Bosea,Control,38,3,7.894736842105263,35
Bosea,Low,33,4,12.121212121212121,10.5
Bosea,High,50,7,14.000000000000002,9
Bradyrhizobium,Control,38,12,31.57894736842105,14.5
Bradyrhizobium,Low,33,11,33.33333333333333,23
Bradyrhizobium,High,50,18,36,37.5
Brevundimonas,Control,38,5,13.157894736842104,8
Brevundimonas,Low,33,4,12.121212121212121,8.5
Brevundimonas,High,50,4,8,13.5
CAG.485,Control,38,11,28.947368421052634,96
CAG.485,Low,33,15,45.45454545454545,95
CAG.485,High,50,29,57.99999999999999,84
COE1,Control,38,8,21.052631578947366,32
COE1,Low,33,7,21.21212121212121,18
COE1,High,50,11,22,15
Caulobacter,Control,38,17,44.73684210526316,11
Caulobacter,Low,33,16,48.484848484848484,11
Caulobacter,High,50,22,44,16
Clostridium,Control,38,8,21.052631578947366,66.5
Clostridium,Low,33,9,27.27272727272727,39
Clostridium,High,50,15,30,19
Cryptobacteroides,Control,38,17,44.73684210526316,135
Cryptobacteroides,Low,33,20,60.60606060606061,110.5
Cryptobacteroides,High,50,30,60,119
Cutibacterium,Control,38,13,34.21052631578947,27
Cutibacterium,Low,33,4,12.121212121212121,77.5
Cutibacterium,High,50,21,42,32
Deinococcus,Control,38,18,47.368421052631575,38.5
Deinococcus,Low,33,15,45.45454545454545,28
Deinococcus,High,50,25,50,21
Desulfovibrio,Control,38,6,15.789473684210526,30
Desulfovibrio,Low,33,5,15.151515151515152,16
Desulfovibrio,High,50,8,16,16
Desulfovibrio.1,Control,38,10,26.31578947368421,91.5
Desulfovibrio.1,Low,33,10,30.303030303030305,40.5
Desulfovibrio.1,High,50,17,34,28
Desulfovibrio.2,Control,38,15,39.473684210526315,66
Desulfovibrio.2,Low,33,9,27.27272727272727,39
Desulfovibrio.2,High,50,23,46,80
Dubosiella,Control,38,12,31.57894736842105,109
Dubosiella,Low,33,14,42.42424242424242,37
Dubosiella,High,50,22,44,66.5
Duncaniella,Control,38,15,39.473684210526315,104
Duncaniella,Low,33,14,42.42424242424242,120.5
Duncaniella,High,50,30,60,146.5
Duncaniella.1,Control,38,6,15.789473684210526,44.5
Duncaniella.1,Low,33,6,18.181818181818183,35
Duncaniella.1,High,50,13,26,16
Dysosmobacter,Control,38,5,13.157894736842104,14
Dysosmobacter,Low,33,5,15.151515151515152,23
Dysosmobacter,High,50,6,12,27.5
Enterenecus,Control,38,4,10.526315789473683,41.5
Enterenecus,Low,33,3,9.090909090909092,51
Enterenecus,High,50,6,12,25
Erythrobacter,Control,38,2,5.263157894736842,66
Erythrobacter,Low,33,5,15.151515151515152,23
Erythrobacter,High,50,9,18,9
Eubacterium_R,Control,38,8,21.052631578947366,69.5
Eubacterium_R,Low,33,5,15.151515151515152,25
Eubacterium_R,High,50,7,14.000000000000002,31
Faecalibaculum,Control,38,12,31.57894736842105,156.5
Faecalibaculum,Low,33,12,36.36363636363637,67
Faecalibaculum,High,50,25,50,57
Fimbriiglobus,Control,38,9,23.684210526315788,27
Fimbriiglobus,Low,33,9,27.27272727272727,20
Fimbriiglobus,High,50,12,24,21
Gemella,Control,38,7,18.421052631578945,37
Gemella,Low,33,3,9.090909090909092,32
Gemella,High,50,8,16,20.5
HGM12619,Control,38,3,7.894736842105263,16
