feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,approximate_fold_change,direction
Moraxella_A,treatment,Low,-1.43081112105923,0.440069013394043,121,23,0.00426159006989743,0.10014736664259,0.23911489243872944,Lower than Control
Phaeobacter,treatment,High,-0.769280901734422,0.326430207666905,121,14,0.0302621735875851,0.300358979158318,0.4633461399468557,Lower than Control
Pseudomonas_E,treatment,Low,0.986012587461611,0.502670570847581,121,121,0.0649248123596064,0.425785978730442,2.6805247764481916,Higher than Control
Microbacterium,treatment,Low,0.688288610754135,0.348960745383131,121,15,0.0719578030783309,0.451763091328375,1.9903064279053468,Higher than Control
Stenotrophomonas,treatment,High,0.644279172282885,0.334244800686726,121,19,0.0720898549992087,0.451763091328375,1.9046136360421821,Higher than Control
Phaeobacter,treatment,Low,-0.664820104568541,0.357859873053351,121,14,0.080231910235579,0.472051816351967,0.5143660514868399,Lower than Control
Turicibacter,treatment,High,-0.670620864238514,0.379751053234488,121,16,0.0993756703039072,0.549489000503958,0.5113909748344138,Lower than Control
HIMB11,treatment,Low,0.638598497850185,0.387959300178388,121,24,0.102438195312153,0.554740156519939,1.8938248189474276,Higher than Control
Hylemonella,treatment,Low,-1.0192172168251,0.601400237633603,121,64,0.109013257992927,0.569291458407507,0.36087731833121656,Lower than Control
Microbacterium,treatment,High,0.538599697819028,0.318456568613293,121,15,0.115866625377207,0.594079788297679,1.7136056156609232,Higher than Control
Lacticaseibacillus,treatment,Low,0.498195122010999,0.303794508741129,121,13,0.125667534763424,0.621723593040099,1.6457482137782249,Higher than Control
Halomonas,treatment,High,1.14449693976765,0.727209931119885,121,52,0.134430633344971,0.642532857682741,3.1408609171215653,Higher than Control
Methylobacterium.Methylorubrum,treatment,High,1.13101244294733,0.738321285570993,121,59,0.146318028052239,0.666692274609286,3.098792262838184,Higher than Control
Moraxella_A,treatment,High,-0.59261802799707,0.401355026814951,121,23,0.156498053891229,0.668673502989799,0.5528779384259657,Lower than Control
Aquincola,treatment,High,-0.680599170089846,0.46545174060149,121,27,0.162757161131182,0.685037603567063,0.5063135335375616,Lower than Control
Herbaspirillum.1,treatment,High,0.543464196997674,0.395190272999916,121,19,0.171698124559133,0.685727171026808,1.7219617565131329,Higher than Control
Pelagibacter,treatment,Low,0.612750175478272,0.429161549025959,121,13,0.172647621074126,0.685727171026808,1.8454998744882058,Higher than Control
CAG.485,treatment,High,1.60104682380353,1.14805212677197,121,55,0.18379443672797,0.719560594458291,4.958220091449569,Higher than Control
Mucispirillum,treatment,High,0.359531323588854,0.27691282017018,121,22,0.196718560959379,0.73112678500596,1.432657804270578,Higher than Control
Staphylococcus,treatment,High,0.41792895260421,0.32294681449707,121,17,0.19817576467952,0.73112678500596,1.5188127628773738,Higher than Control
Halomonas,treatment,Low,1.06167341863693,0.795822223563603,121,52,0.199756319750422,0.73112678500596,2.8912051399252943,Higher than Control
HIMB11,treatment,High,0.437060769282406,0.354347860681502,121,24,0.219890227995296,0.765543756724364,1.5481501541717375,Higher than Control
Neisseria,treatment,Low,0.476933679439654,0.408938822846258,121,18,0.25873856260239,0.825872438844911,1.6111265896927425,Higher than Control
Acidovorax,treatment,High,0.662045223172909,0.568374907217082,121,27,0.260091314935424,0.825872438844911,1.9387534658372547,Higher than Control
Duncaniella,treatment,High,1.25211626467016,1.10367071714642,121,59,0.272362187278641,0.825872438844911,3.49773726834924,Higher than Control
Priestia,treatment,Low,1.24842585348629,1.13545876350227,121,62,0.289447878982611,0.868343636947832,3.484852968420909,Higher than Control
Eubacterium_R,treatment,High,-0.490993988164686,0.469312184043112,121,20,0.310306844040999,0.901851492702163,0.6120177533402325,Lower than Control
Lactobacillus,treatment,Low,2.12316400055765,2.03446750764484,121,82,0.310724228298053,0.901851492702163,8.357538956450338,Higher than Control
Bacteroides,treatment,High,0.705620722515443,0.676816697491189,121,29,0.312866965045492,0.901851492702163,2.02510332209863,Higher than Control
Paramuribaculum,treatment,High,1.05188907098315,1.01508611374072,121,54,0.315102367230648,0.901851492702163,2.863054525973932,Higher than Control
Herbaspirillum,treatment,Low,-0.808900020941192,0.784085578067682,121,39,0.316607438927355,0.901851492702163,0.4453476700075168,Lower than Control
Acidibacter,treatment,High,0.720090594101108,0.700710019225433,121,25,0.322229157793053,0.90868622497641,2.054619338604813,Higher than Control
Erythrobacter,treatment,High,0.373556990638326,0.375831364906599,121,16,0.336340270599284,0.931122738567876,1.452893362504233,Higher than Control
Aquincola,treatment,Low,-0.499777239012948,0.509877315603793,121,27,0.34107226747697,0.931122738567876,0.6066657861309567,Lower than Control
Acidibacter,treatment,Low,0.750340437516392,0.764675041121646,121,25,0.343202327101174,0.931122738567876,2.117720845532174,Higher than Control
Pelomonas,treatment,High,0.992506355762584,1.02504117120755,121,68,0.346885419838693,0.931122738567876,2.69798812336814,Higher than Control
Gemella,treatment,Low,-0.44327051091264,0.461515928457982,121,18,0.350200325605557,0.931122738567876,0.6419335335725428,Lower than Control
Undibacterium,treatment,High,0.702591825779433,0.750838757435334,121,43,0.361670285539267,0.931122738567876,2.0189787732515754,Higher than Control
Ligilactobacillus,treatment,Low,-0.698281098955862,0.751079543832782,121,31,0.36516731227703503,0.931122738567876,0.4974396188197492,Lower than Control
Brevundimonas,treatment,High,-0.251745754995288,0.278529702207049,121,13,0.367938484461699,0.931122738567876,0.7774423737839209,Lower than Control
Bacteroides,treatment,Low,0.687024968350336,0.741915167238418,121,29,0.368214835657525,0.931122738567876,1.9877929806901866,Higher than Control
Lactobacillus,treatment,High,1.72790100994771,1.87770841530754,121,82,0.370155026574078,0.931122738567876,5.628826648978422,Higher than Control
Undibacterium,treatment,Low,0.719126561372358,0.819531910111781,121,43,0.391306741838707,0.931122738567876,2.0526395727501408,Higher than Control
Neglecta,treatment,High,-0.207668714879243,0.245687039466528,121,13,0.399692540150643,0.931122738567876,0.8124761533928906,Lower than Control
Lachnospiraceae.NK4A136.group,treatment,Low,1.5848442582162099,1.84073598455668,121,73,0.401172493894749,0.931122738567876,4.878531528141572,Higher than Control
Odoribacter,treatment,Low,1.29970650538389,1.51791688517432,121,60,0.403732209770482,0.931122738567876,3.6682199068218657,Higher than Control
Priestia,treatment,High,0.892546111035813,1.03717205710642,121,62,0.403828227857065,0.931122738567876,2.4413376615566724,Higher than Control
Hylemonella,treatment,High,-0.463623828767625,0.548534647520625,121,64,0.410042663795759,0.931122738567876,0.6290001217203628,Lower than Control
Cryptobacteroides,treatment,Low,1.47802095560664,1.7610654336011,121,67,0.413505797887469,0.931122738567876,4.384260443468568,Higher than Control
Desulfovibrio.2,treatment,Low,-0.999946979229733,1.20381780887771,121,47,0.417505458174753,0.931122738567876,0.3678989469398795,Lower than Control
Tardiphaga,treatment,Low,-0.387879407840256,0.466473574034712,121,16,0.418149728360998,0.931122738567876,0.6784941594068689,Lower than Control
UBA3282,treatment,Low,1.23613184978078,1.49560220876164,121,62,0.419335417723831,0.931122738567876,3.4422724519369248,Higher than Control
CAG.485,treatment,Low,1.01353226815404,1.25399317181254,121,55,0.431381329838395,0.935737159959968,2.755316362550846,Higher than Control
